title,release_date,developer,genres,multiplayer_or_singleplayer,price,overall_review,reviews,percent_positive,win_support,mac_support,lin_support
Vzerthos: The Heir of Thunder,19/01/2017,DarkDes Labs,Action;Adventure;Indie;RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,345,Mixed,18,66%,1,0,0
Statues,27/10/2015,Room710Games,Action;Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,259,Mixed,71,61%,1,0,0
2017 VR,08/05/2017,Tungsten Games,Gore;Action;Indie;RPG,Single-player;Online Multi-Player;Online Co-op;Steam Leaderboards,565,Mixed,27,62%,1,0,0
99 Waves to Die,09/04/2015,SpookyFish Games,Action;Indie,Single-player;Partial Controller Support,125,Positive,122,55%,1,0,1
Algorithm,23/10/2017,Valut,Casual;Indie,Single-player,42,Positive,19,68%,1,0,0
Shu's Garden,11/08/2015,Colin Sanders;Jason RT Bond,Casual;Indie;Simulation,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Full controller support,199,Positive,217,51%,1,1,0
The Orphan Dreams,27/04/2016,Tayfun Tuna,Adventure;Casual;Indie;RPG,Single-player,250,Positive,245,59%,1,0,0
Robert Rodriguez�s THE LIMIT: An Immersive Cinema Experience,21/11/2018,STXsurreal,Action,Single-player;Partial Controller Support,199,Mixed,50,60%,1,0,0
Popap,18/03/2017,aqwatron,Casual,Single-player;Steam Trading Cards,58,Mixed,196,53%,1,0,0
The SoulKeeper VR,15/08/2017,HELM Systems,Violent;Gore;Action;Indie;RPG;Early Access,Single-player,529,Mixed,15,60%,1,0,0
Dark Heritage: Guardians of Hope,24/09/2015,World-Loom;The House of Fables,Adventure;Casual,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,369,Mixed,757,50%,1,1,1
Lock Her Up: The Trump Supremacy,27/04/2018,Three Guys Game Studio,Action;Indie,Local Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support,199,Mixed,12,75%,1,1,0
Taxi,22/08/2014,Excalibur,Indie;Simulation,Single-player,259,Mixed,14,78%,1,0,0
Dance of Death,21/12/2015,eight game studio,Adventure,Single-player;Steam Trading Cards,165,Mixed,23,78%,1,0,0
1914: Prelude to Chaos,08/05/2017,Amaterasu Software,RPG,Single-player;Steam Trading Cards,58,Mixed,18,55%,1,0,0
